ACYCLOVIR	RATING	 REASON	SIDE EFFECTS FOR ACYCLOVIR	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
5	Genital herpes	I love it! It's like a wonder drug for herpes. I haven't had any side effects with it either.		F	23	4  years400 mg	3/5/2013Email
5	cold sores	None		F		5  years800 mg	2/3/2013
4	Cold sores	Ive suffered from cold sores as long as I can remember. If I can catch it at the tingle,  I can prevent it from ever becoming a visible sore to anyone other than myself with acyclovir pills.  It's amazing. If I catch it later it drastically cuts healing time down. I've used it as a preventative medicine as well if I feel like getting sick or going on a trip and realllllly don't want to worry about getting one. I also use tea tree oil with it. Side effects: severe acid reflux- regardless of what I eat or drink and I'm not prone to it otherwise. I also have pain in my back and head and just feel kinda lousy overall for the couple days of the heavy dose while killing the thing. I'm willing to deal with it. The pain, embarrassment and general discomfort of the cold sore is far worse in my opinion.		F	34	4  days400mg	1/28/2013
3	shingles	severe throbbing headache		F	27	5  days800mg 5X D	1/26/2013
2	Shingles	Extreme nausea and pain in abdomen when I Am about to pass gas. Been taking for 4 days now and the breakout has cleared up some but I have noticed a few areas popinjay up on my eye lid again. Every time I eat I feel extremely sick toy stomach some to the point where I vomit. Due to this I have lost over ten pounds.		M	37	4  days800mg	11/29/2012Email
2	Shingles	Horrible stomach cramping and diarrhea, headaches, tiredness, shortness of breath by day 4, when I decided to stop.		F	27	4  days800mg 5x/d	11/20/2012
1	HSV2	None. This medicine hasn't worked at all. I was diagnosed visually. Im having a culture done just to make sure i wasn't misdiagnosed. I'm still burning still itching. I feel like I'm not taking any medicine. I'm going to get a second opinion.		F	25	2  days200 MG	11/1/2012
5	Shingles	At first the drug only caused chronic diarrhea, and G.E.R.D..  Then as time passed, I developed fatigue, joint pain, weight gain, loss of sex drive, muscle stiffness, and mood swings.	Prior to taking this drug I had constant shingles for almost 25 years without any relief.  I participated in many studies (as a subject) on shingles without any signs of relief.  Much of the time I also had cases of Staff infection from the open sores and blisters getting infected.  I always had to be careful of anything causing physical or mental stress (loud music, too much sun, catching a cold, becoming angry or agitated, etc...) for fear that the shingles would become more prevalent.  When I began my treatments, within a week 25 years of constant agony was gone!  I do occasionally get brief bouts of shingles with only a fraction of the previous severity.  I have developed Krohn's disease-like symptoms (without having the genetic disposition for it), but it is STILL worth taking the pills for me not to have Shingles.	M	50	7  years800mg 5X D	10/25/2012Email
5	Cold sores	Bad taste in mouth for last month.  Nothing else unusual.	I have had cold sores since I was a baby.  I discovered Chapstick SPF 15 when I was in my twenties.  That has helped me as I spend a lot of time in the sun.  However, stress and illness still triggered breakouts.  I averaged about 6 to 8 breakouts a year.  After a lifetime of enduring random painful breakouts, I decided enough was enough.  I consulted my doctor and he put me on Acyclovir 200 mg daily.  After I had two minor breakouts the following 2 months, he upped it to 400 mg daily.  Worked for almost 8 months, and then I had three breakouts in less than a month.  This third one is on top of my bottom lip and it is a large one, but it crusted over the next day.  I have been taking 1600 mg (800 mg 2xdaily) for five days.  I still have it but it is almost gone.  Before this medicine, it would have taken a week or more to reach the crusty stage.  I am going to talk to my doctor about upping the dosage to 800 mg daily.  Hope it works to prevent future breakouts.  I do use a topical product called Oil of Mercy.  That helps as well to heal sores.	F	47	9  months400 mg 1X D	8/21/2012Email
5	genital herpes	I had no bad side effects. It doesn't make the outbreak go right away, but it definitely shortens the time, and cut the severe pain I was having in half. Sucks to have to take it so often though.		F	21	3  months400mg	8/2/2012
