ATACAND	RATING	 REASON	SIDE EFFECTS FOR ATACAND	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
3	BP	Re Post from11/3/2012	I have reverted back to straight 16mg daily instead of 16+.Its made a big difference as the cronic side effects slowly subside,pressure is normal.Moderate sinus & throat gunk problem occuring lately,dont know yet if the sinus problem is related to attacand.I will post the outcome when known.	M		 16mg 1X D	2/14/2013
1	Hypertension	Peripheral Neuropathy,Muscle Pain	Had been taking Diovan 160 for many years.Diovan made my toes numb.Doctor suggested Atacand 16mg.From Day 1 ,Atacand created more numbness in entire foot and some fingers plus muscle cramping/pain in legs.Just didn't work for me so I went back to Diovan 160 and the numbness reduced to just my toes again.	M	70	3  months16 1X D	1/18/2013
1	Hypertension	Depression, lethargy, intolerance to heat, feeling of 'doom', significant weight gain, aching joints.	The longer I took Atacand, the worse I felt, and it didn't significantly decrease my blood pressure.  I asked my Dr. to change the medication and feel much better now that I am on Teveten.  Additionally, the Teveten is lowering my blood pressure more effectively than Atacand did.	F	53	1.5  years4 mg 2X D	1/11/2013
1	Hypertension	Severe joint pain and sinusitis. Anxiety. And this was only 4 mg. Worked well for my BP But it has been 5 days off and the joint pain is actually  getting worse. I will try to manage the BP some other way. Not worth it. I know people who are on a much higher dose and are fine. This was a horrible drug. The side effects became worse as time went on.				1  months4mg	11/22/2012
2	BP	Unbearable allover cronic muscle pain,BP down.	Have stopped taking Atacand 2 weeks ago, my body is slowly returning to normal. I feel great.Atacand was my only med.I can lift a cup of coffee,but BP up.	M		 16+ 1X D	11/3/2012
1	high blood pressure	Severe nausea and fatique.  sometimes related to moderate heat and exercise  sometimes not. the unwell feeling was so severe that I went to bed or the hospital on a couple of occasions...     felt that I was incacerated in my own body...      a terrible experience.    was a terrible drug for me....my cardiologist said that I had a sense of doom , undoubtedly caused by this drug....	my experiences are totally different than the side effects listed by the drug company...   this drug should be investigated!	M	63	8  years32 mg 1X D	8/4/2012Email
2	Medium High Blood Pressure			M	55	 16 1X D	7/29/2012EmailHistory
1	high blood pressure16m	depression, fatigue, wieght gain, muscle cramps, shortness of breath, arthritic joints, exhaustion, heart burn, forgetfullness and foggy head. This has been a life crushing drug for me.	took myself of this drug, my MP insisted that I could not have any of these side effects from atacand.  finally quit aticand and all the drugs i took to counter its side effects. BP is 220/118 but at least i have some quality of life.  trying to find alternatives, but doctors are not  empathetic. I  do NOT recommend atacand!	F	53	 16mg/12.5 1X D	5/6/2012Email
1	Kidney Protection	I posted the note below as well. So second day off of meds and I cannot speak! I went to the Dr. and he said it swelled my voice box up and my sinuses and that I may not talk for a few days yet. He figures up to 5 days. Takes 48 hours for the drug to leave your body, but the side effects a little longer. This stuff is poison. I can't take any bp meds.. so good thing bp is good from all the walking but my kidney is not protected. Rather have quality of life though. This is misery.	You are not crazy if you are experiencing panic, anxiety, sinus infections, sore throat, burning throat, swollen voice box... get OFF this drug! Most Dr's are not even aware of the extreme side effects for some people. Mine was not but I educated him and looking at my throat today, he could see it was not B.S.	F	48	5  days4 1X D	3/26/2012Email
1	Kidney Protection	This stuff is not good for me. They had me on it back in 2006 and I had wicked panic attacks.. a sinus infection that lasted a year... I felt like I was going insane... I found this board in 06 and saw what someone had written about his panic attacks and realized it was the drug and I took myself off of it.. don't do that, though.. my bp spiked but it normalized again. Anyway, because my one and only kidney leaks protein and recently increased the dr convinced me to try atacand again at a much lower dose... same problems starting all over again... started in the sinus... now it feels like my throat and esophagus are on fire... lots of phlegm, coughing... just feel crappy. So tomorrow back to my water pill. It keeps my bp steady but unfortunately does not have the kidney protection atacand does... not sure what to do about that...	I hate this crap. What really bugs me is you are given something to make something better but it creates a bunch of other problems.. not quality of life to me.	F	48	5  days4 mg 1X D	3/25/2012Email
3	hi blood pressure	dizzy, memory problems..upset stomach..muscle aches...added 4 mg pill as 8 not enough and more severe problems occured..breathing,lethargic, dopey,depressed,libido...		M	57	8  years8 1X D	3/4/2012
5	high bloodpresure	good	good	M	57	 32 mg 1X D	2/29/2012Email
2	high blood pressure	depression and thoughts of "what is life for?"Never had any thoughts like that except when I took its cousin Benecar.	Try something else.	F	63	5  weeks5mg 1X D	1/31/2012Email
3	high blood pressure	After three weeks, I notice an almost chronic sore throat.  Have had two episodes of foot cramps so bad I was disabled.  Had to get out of bed to "unclaw" my foot.    Sore back a lot.	Previously on Lisinopril for 8 years but the coughing was so bad I couldn't take it any more.   After three weeks off Lisinopril,  the cough seems to be better, now replaced by a sore throat.	F	60	3  weeks16 mg 1X D	12/18/2011Email
1	high blood pressure	This drug gave me such severe anxiety I was mostly bed ridden for 3 months.   I lost 30 pounds in 3 months, could not work, and had no life.  I went from an extremely active person to a nothing.  The cardiologists said no one else had reactions to it.   I changed doctors and was put on tribenzor which gave me  most of my life back,  I am still taking anxiety medication because of the damage this drug did to me,   I am  not able to work full time yet but hope to soon.     I wouldn't give atacand to my worst enemy.		F	76	3  months32 mg 1X D	12/16/2011Email
5	High Blood Pressure	No side effects - a miracle!	I am super sensitive to all drugs, so I can take almost nothing without bad side effects and allergies.  I had been on Tenormin (atenolol) for many years, but it no longer was controlling my blood pressure, it was only lowering my heart rate (something I needed in addition to BP reduction).  I (worriedly) added Atacand to my Tenormin regime in hopes of lowering my uncontrolled BP.  What I really liked was I had no side effects and also the fact that there was no cumulative effect on blood pressure or heart rate reduction between the two - the Atacand controlled only my high blood pressure and the Tenormin continued to control only my heart rate.  Another thing I like is that it is short-acting so I knew when I started it that if there was a problem, I could stop it and it would be out of my system in a few hours.  I started small (1/4 of a 4mg tab) to test it out and found no side effects, just a reduction in my blood pressure - a miracle for me!  Now I take an amount based on my current blood pressure - that way I don't overdo it if my BP happens to be low and I don't under-dose it if it's high - the smartest way to dose a short acting drug (take only what you need).  So for me personally, I take (3x a day) 1/2 a 4mg tab if my BP is in the 130's, 3/4 of a 4mg tab if it's in the 140's and a whole 4 mg tab if it's 150 or above.  I take 50mg Tenormin 3x a day along with it to keep my heart rate below 80.  No sleepiness, dizziness or cough! GREAT DRUG!!	F	51	1  years2-4mg 3X D	11/13/2011Email
3	High	First prescribed Atacand HCT 32/12.5. Dizziness tired, lowered libido. Switched to 16/mg/12.5 & no dizziness. I recently tried cutting back to 1every other day that helped libido issue but bp crept up. Dr said it must be taken everyday.		M	62	5  years16 1X D	9/17/2011
4	high blood pressure	have no side effects other than insomia,but i read an article on the internet that said during a research with this medication they found out that it could increase your chance of getting cancer,has anybody heard about that.		M	50	7  days32 mgs 1X D	9/16/2011
1	hypertension	Vertigo, dizziness, sinusitis, lower back pain, nausea, weakness in limbs and neck.	Slightly effective as a hypertensive med, but the side effects have disabled me  completely. Side effects took about 1 month to appear, so I didn't connect worsening health with the meds.Currently being weaned off this.Was on Bisoprolol Fumarate too, but forgot to take on hols and daily nausea disappeared within 3 days.I don't intend taking any other BP meds again - I get too many side effects.  Will try Far Infra-Red therapy.	F	52	18  months16mg 2X D	8/14/2011Email
2	hypertension	TAKEN FOR 2 MONTHS AND WAS BADLY BLOATED EVERYDAY. DID NOT REALIZE IT WAS CAUSING MY BLOATING UNTIL I ACCIDENTLY FORGOT TO TAKE IT.IT IS NOT A  PLUBLISHED SIDE EFFECT. IT DID LOWER MY BP. MY DOCTOR LISTENED AND STARTED ME ON A NEW BP DRUG.		F	61	2  days16-24mg 1X D	8/11/2011
3	Hypertension	Fatigue, Lethargy, Exhaustion, Palpitations, out of breath after minimal activity.		M	30	 16mg 2X D	6/29/2011Email
2	HBP	Loss of libidio, clogged ears and nose not starting to have minor blurred vision.		M	52	90  days5 1X D	6/12/2011Email
4	HBP	None that I have noticed.	Seems to work pretty good	M	52	2  years32mg 1X D	6/10/2011Email
3	Hypertension	Very mild anxiety/confusion. Slight tiredness, possibly due to difficulty sleeping (previously never an issue). Nightmare is probably too strong but now having "dark" dreams which awaken and having trouble getting back to sleep. The anxiety issue often occurs at this point equating to getting out of bed either very early for the day, or watching TV and then returning to bed.	Was previously on Norvasc to treat my hypertension. Excellent results in terms of BP, but swollen ankies and fluid retention a problem. Therefore changed to Atacand on GPs advice. BP on Atacand also very good. Have own BP Unit and no change in BP seen since change	M	50	20  days8MG 1X D	5/8/2011Email
2	hypertension	dizziness, nausea, sweating, lethargic..... don't want to move. insomnia,just feel unwell. Stopped taking it for 1 week and felt great.Thirsty all the time and can't tolerate heat in summer on this drug. Dry mouth all the time just on 4 mg. Dr. thinks I'm nuts and couldn't possibly be having these side effects on this dose. I am very sensitive to drugs and this one is no exception. Worried about what I can take next to contol my BP. I do not feel well on this drug and I don't want to do anything therefore I have gained weight while on it. Wish I could get off it completely. Just had complete blood test and it came out fine so I know these side affects are from this drug and not from something else. Have had reactions to several other drugs for BP as well. Also I have  muscle aches all over all the time on this drug and they went away when I quit it for a week.		F	56	1  years4mg 1X D	2/23/2011Email
3	high blood pressure	Arthritis of hands, never had problems before.  Numbness of fingers and toes.  Leg cramps.  Tiredness and exhaustion. Mental confusion and eyesight affected.  Hair thinning.  Most side effects have coincided with the move from 16 mg to 32mg.	Will be seeing doctor about other options.	M	63	7  months32 1X D	2/21/2011Email
3	High BP	Fatigue, Feeling unwell, stuffy feeling in my Head,tiredness and some depression every so often. Took Crestor Cholesterol lowering Medication. Got off that as it was poisioning Me. My Legs got much better but still found that now Atacand was also coursing me dramas.	Amazing when Doctors and even Specialists tell you that taking this Drug amongst other Drugs that they are classed as being good for you because they do what they are supposed to do. What is often forgotten is; That many Patients are Not listened to when they tell their Doctor that they are severely affected by it and look at you as if You" are just imagining it. Fix one thing and poision you with another. What is the point of that? I may as well die earlier but at least I would have felt better during that time I had and enjoyed it more. Stay of Statins. They are really bad. Reasearch has found that high Colesterol is not the problem but why higher cholesterol is being produced in the first place? read and research more about this. You'd be surprised. read about Palin and his conclusive research.Instead; Try Vitamin C, L- Lysine, Vitamin B, Enzime Q10 and L-Proline as an alternative for the correct treatment.	M	56	2  years8 1X D	2/19/2011Email
