ANTIVERT	RATING	 REASON	SIDE EFFECTS FOR ANTIVERT	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
1	extreme vertigo	EXTREME fatigue, couldn't even FORCE my eyes open. Fell asleep in the tub. My eyes kepg rolling and going cross. Felt like I was in a complete fog and I couldn't even think straight.	The Dr. gave me this med in the ER. I asked if it would make me feel funny (I do not like taking meds but I was so tired of the dizziness that I was willing to try it) and he said no. I drove home 2 hours after being given the Antivert and as I was driving, I was literally scared. I couldn't focus, couldn't concentrate and was afraid I was going to have to pull over. I made it home safely. After a few hours of not being able to shake the feeling, I decided to take a bath. Thankfully my cat likes to sit on the side of my tub while I bathe because I think she saved my life. I dozed off at least 4 times and every time I was awaken by my cat patting my arm. I probably would have drownd and not even cared. Dangerous drug, if you ask me!	F	36	1  days25 mg 3X D	5/26/2012Email
3	lightheadedness, dizziness,vertigo?	repetitive and cyclic dreams, dizziness	Only think it helped one morning.  Otherwise, couldn't tell the difference between the disequilibrium and the medicine.  Not sure why doctor prescribed only 3 days usage (coupled with Ciprodex)	M	51	3  days25 mg 3X D	5/8/2012
4	seasickness	Drowsiness, dry mouth and grogginess on waking.	Made me drag fairly badly for the first three days, but after that I seemed to develop a tolerance to the side effects. Was effective at preventing motion sickness as long as I took it a while before the motion started. Being draggy is much better than feeling gaggy, but this would not mix well with driving.	M	31	30  days25 mg 2X D	1/23/2012
5	Vertigo caused by inner ear problem	Extreme sleepiness	Good stuff!  Works extremely well.  Was prescribed 25mg - too much.  Functioned much better on 1/2 pill.  Also, take it in the evening preferably before bed.	M	49	1  weeks12.5 1X D	8/21/2011
1	Vertigo	Extreme tiredness, unable to think clear, dizziness	I cannot take this drug during the day because it knocks me out so I tried taking it at night and I felt drugged the next morning and couldn't function.  Not sure why doctors prescribe this since it does not treat the Vertigo and it just make me so sleepy that it's like torture, I'll I wanted to do while on this pill was sleep, not good when you work full-time.	F	42	30  days 1X D	8/5/2010
3	sinus infection			F	32	5  days12 1X D	3/17/2010Email
2	dizziness & vertigo	made me very sleepy; seemed to wake up in a sweat at night (and during naps) on the days I was on this; it didn't really help the dizziness much--I didn't see a noticeable effect.  My vertigo/dizziness was suspected to be caused by a virus.		F	31	3  days	1/8/2010
5	migraine and vertigo	Sleepiness	Works well to deter nausea, I can usually get away with taking 1/4 to 1/2 of a 25mg pill to avoid the worst of the drowsiness but it'll definitely knock you out at higher doses. As an added bonus it seems to help with the confusion and anxiety that I sometimes get with migraines.	F	32	3  years	11/30/2009Email
2	Vertigo	I just took my first one while I'm at work thinking it was a non-drousy thing. Right now I could take a nap on my desk and I feel nauseated.	This might be good for nighttime, but I don't think I can take this and work. I'll just have to live with the extreme dizziness and nausea while I"m work.	F	58	1  days	10/1/2009
3	Vertigo	This medicine completely knocked me out.   I think I slept for 2 days and nights.	It helped the dizziness when and if I could get up	F	65	3  days	8/14/2009
4	vertigo	some tiredness	It works when your head is spinning like a top!	F	61	1  weeks	8/11/2009
1	lightheadedness vertigo	extreme tiredness and more dizzy than before...seriously i have never felt this tired in my whole life, i cant take this pill anymore, all i seem to do is sleep	didnt help at all in the lightheadedness/dizzyness..i find it hilarious that one of the side effects for an anti-dizzy pill is dizzyness. im told if i take it longer i will eventually stop felling as tired and adjust to it. but to be honest i dont want to. its a horrible disconnected fake tired feeling that i dont like at all. its like extreme jet lag.	F	25	2  days	5/7/2009Email
4	dizziness/vertigo	a  tired, medicine head feeling with 25 mg. dose..reduced the dose  to 12.5 and that helped. seems to help a lot with the dizziness.	works so far.....	M	50	5  days	5/29/2008
5	MS (vertigo/confusion)	A bit tired, but tired is so much better than not being able to think or having vertigo.	Didn't work for me for the first couple of days, but now I'm a big fan.  Am taking it twice daily.	F	36	21  days	1/12/2008
1	dizziness	Ultra tired constantly.	Meclizine/antivert/bonine(all the same) are about useless.  I wonder what they use or do in more enlightened places such as europe or japan?	M	55	4  days	11/23/2007
5	Dizziness	None	Took this medicine off and on in 2001-02 while suffering bouts of dizziness caused by stress and a medical condition. I didn't have any noticeable side effects, but it took care of the dizziness.	M	19	1  years	11/20/2007
3	Vertigo	Tiredness	I was just diagnosed with vertigo and I took Antivert for the first time this week.  The vertigo seemed to go away, but at the cost of being very tired for about 24 hours.	F	25	1  days	11/6/2007
1	After C-section for nausea	The medication was administered via IV after surgery because the nurse suggested a "new" medication for nausea.I think she gave me too much medication. I could not keep my eyes open and several times I would wake up from sleep feeling like I would stop breathing. I could hear people talking but I could not open my eyes. I couldn't even nurse my baby because I had no use of my arms. I told my mother several times I was afraid to truly go to sleep because I felt I would never wake up! It took 12 to 15 hours to wear off and I still felt groggy for another day. I would definitely NOT recommend to take this medication! I would have much rather been vomiting than feel like I was about to die.		F	34	1  days	8/30/2007
5	Vertigo	soooooooo tired. Slept for a day AFTER I stopped taking the medicine BUT the room never spun again	Life is full of trade offs, I will take sleep over stumbling around like a drunk and having the room spin	M	38	1  days	3/3/2007Email
1	vertigo	Did not help dizziness from vertigo. Very tired no energy, just still feel overall sick.	Why is this recommended for dizziness when it causes dizziness? Can someone please tell me if they know of something that does works?	F		10  days	9/1/2006Email
2	Vertigo	Did not improve vertigo symptoms at all.  No other side effects.		M	34	5  days	8/21/2006
4	anxiety	cough-recurring	great for anxiety, but may have caused a cough	M	35	2  years	4/29/2006
