Gallstones	Christina, 19-24 Female  on Treatment for 1 to 6 months (Patient) 	4	5	5	Female	19-24	11/15/2011 5:36:37 PM	can you die or get liver disease from taking it?
Blockage of Normal Bile Flow	35-44 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	35-44	11/19/2010 11:54:20 PM	Hard to get get down. not working for me.
Treatment to Prevent Gallstones	Petrina, 55-64 on Treatment for 1 to 6 months (Patient) 	4	2	5		55-64	9/1/2010 10:20:21 AM	After every meal, I have eccessive burbing.It does not matter as to the amount of food or the type of food or how slow I eat. I will have more than 20 minutes of continousburbing which has now caused me to socially isolate when eating with friends and family.
Treatment to Prevent Gallstones	ACTIGALLCH, 65-74 Female  on Treatment for less than 1 month	3	3	5	Female	65-74	7/25/2010 9:05:54 PM	
Hardening of the Liver caused by Alcohol	BESNIK, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	45-54	3/16/2010 9:45:41 AM	I SUFFER OF SINCE MORE THEN TOW YEARS FROM ALCOHOL LIVER CERRHOSIS. I HAVE STOP FOR ALL HAVING ALCOHOL. BUT I AM STILL TREATING WITH URSOFALK DRUG(IF IT IS THE SAME DRUG) . FOR ME IT IS HAS BEEN VERY GOOD EXPERIENCE. IT WORKS VERY WELL.BUT I DON'T KNOW FOR HOW LONG I WILL CARRY ON TAKING THIS MED.THANK YOU 
Gallstones	jordanqueen, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	12/22/2009 10:13:10 AM	I am so happy there is finally a med out there to put me out of my misery .  lol  one tablet and it started to work.  i had gallstones that did not require surgery.
Rare Progressive Liver Disease - Primary Biliary Cirrhosis	cbs, 65-74 Female  on Treatment for 5 to less than 10 years (Patient) 	4	5	5	Female	65-74	12/2/2009 7:41:28 PM	Diagnosed in 2001 - started actigall and several others.  Holding my own and still able to work.
Rare Progressive Liver Disease - Primary Biliary Cirrhosis	 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female		10/19/2009 12:03:48 PM	
Rare Progressive Liver Disease - Primary Biliary Cirrhosis	saltro, 55-64 Male  on Treatment for 1 to 6 months (Caregiver) 	5	5	4	Male	55-64	9/2/2009 2:25:12 PM	Took for about a  year for general disease progression. Stopped because of chronic diarrhea.  Deteriorated for several years to severly ill, needing Liver soon. Was restarted on med for general purpose. Very surprised at body response.. 100% improvement in memory problems, energy, overall ability to perform my own ADLs. Had not worked outside in yard for a couple years. Now back to 50% activities before illness.  Problem, SEVER MUSCLE CRAMPING, (Not related to Actigall ), Itching still driving my nuts.  I've tried everything and nothing seems to work..HELP!
Rare Progressive Liver Disease - Primary Biliary Cirrhosis	paulettemarie, 55-64 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	55-64	8/23/2009 9:47:26 PM	I have been taking Actigall, along with Colchicine, for 12 years.  Still no symptoms of the disease!  Prescribed by world-reknowned Gastroenterologist, specializing in this disease.
Other	VC, 35-44 Female  on Treatment for less than 1 month (Patient) 	3	4	2	Female	35-44	1/10/2009 11:15:33 AM	I am not sure what my diagnosis is yet.  My doctor used this to help with the pain after eating.  I don't have a gallbladder, but the pain is like I do.  I have experienced alot of diahhrea with this drug.
Treatment to Prevent Gallstones	35-44 Male  on Treatment for less than 1 month (Patient) 	4	5	5	Male	35-44	9/21/2008 1:49:05 AM	Seems to work well, no side affects for me
Gallstones	wisa, 35-44 Female  on Treatment for less than 1 month (Patient) 	3	4	4	Female	35-44	1/4/2008 7:42:22 PM	My nausea has eased up after just a couple of days taking it.  Not sure yet what's happening with the gallstone, I still get random pain.
Rare Progressive Liver Disease - Primary Biliary Cirrhosis	55-64 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	55-64	12/31/2007 9:08:56 PM	
Chronic Inflammation of the Liver	45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	4	5	Female	45-54	11/13/2007 9:02:29 AM	
Treatment to Prevent Gallstones	Jen, 35-44 Female  on Treatment for 1 to 6 months (Patient) 	3	4	4	Female	35-44	10/4/2007 1:08:11 PM	I have developed random hives.  Basically I get one or two on a different part of my body on different days. 
